"","name","y_rmse","mean1","mean2","var1","var2"
"1","rmse",0.706058049953202,0.01,-0.01,1,1
"2","unif",0.706060177946769,0.01,-0.01,1,1
"3","var",0.706058237355057,0.01,-0.01,1,1
"4","y1",1.00011223280958,0.01,-0.01,1,1
"5","y2",0.997281290750175,0.01,-0.01,1,1
"6","rmse",0.71655199113259,0.266153846153846,-0.01,1,1
"7","unif",0.716606525237184,0.266153846153846,-0.01,1,1
"8","var",0.716634310648008,0.266153846153846,-0.01,1,1
"9","y1",1.02637771855114,0.266153846153846,-0.01,1,1
"10","y2",1.0119138865728,0.266153846153846,-0.01,1,1
"11","rmse",0.740549761819744,0.522307692307692,-0.01,1,1
"12","unif",0.744814171169268,0.522307692307692,-0.01,1,1
"13","var",0.744629116896227,0.522307692307692,-0.01,1,1
"14","y1",1.12418490576648,0.522307692307692,-0.01,1,1
"15","y2",0.993821214645061,0.522307692307692,-0.01,1,1
"16","rmse",0.79861495565649,0.778461538461539,-0.01,1,1
"17","unif",0.81528950941248,0.778461538461539,-0.01,1,1
"18","var",0.814979461446112,0.778461538461539,-0.01,1,1
"19","y1",1.27306820051938,0.778461538461539,-0.01,1,1
"20","y2",1.0050451048512,0.778461538461539,-0.01,1,1
"21","rmse",0.833377866827065,1.03461538461538,-0.01,1,1
"22","unif",0.871116380523846,1.03461538461538,-0.01,1,1
"23","var",0.871965439830469,1.03461538461538,-0.01,1,1
"24","y1",1.43189352185626,1.03461538461538,-0.01,1,1
"25","y2",1.01466022857412,1.03461538461538,-0.01,1,1
"26","rmse",0.882042718035645,1.29076923076923,-0.01,1,1
"27","unif",0.960983234532011,1.29076923076923,-0.01,1,1
"28","var",0.962254352243094,1.29076923076923,-0.01,1,1
"29","y1",1.63530029769069,1.29076923076923,-0.01,1,1
"30","y2",1.0066596652524,1.29076923076923,-0.01,1,1
"31","rmse",0.914179167729277,1.54692307692308,-0.01,1,1
"32","unif",1.05012165809706,1.54692307692308,-0.01,1,1
"33","var",1.04819872014016,1.54692307692308,-0.01,1,1
"34","y1",1.85862872001263,1.54692307692308,-0.01,1,1
"35","y2",1.00021749839187,1.54692307692308,-0.01,1,1
"36","rmse",0.953467424814628,1.80307692307692,-0.01,1,1
"37","unif",1.14506641612478,1.80307692307692,-0.01,1,1
"38","var",1.14459048238498,1.80307692307692,-0.01,1,1
"39","y1",2.06532026953111,1.80307692307692,-0.01,1,1
"40","y2",1.00737426245907,1.80307692307692,-0.01,1,1
"41","rmse",0.972686998993721,2.05923076923077,-0.01,1,1
"42","unif",1.235649455175,2.05923076923077,-0.01,1,1
"43","var",1.23423181450766,2.05923076923077,-0.01,1,1
"44","y1",2.28106350395478,2.05923076923077,-0.01,1,1
"45","y2",0.999762353825895,2.05923076923077,-0.01,1,1
"46","rmse",0.998939016964102,2.31538461538462,-0.01,1,1
"47","unif",1.34651275792849,2.31538461538462,-0.01,1,1
"48","var",1.34776873705351,2.31538461538462,-0.01,1,1
"49","y1",2.52900687093495,2.31538461538462,-0.01,1,1
"50","y2",0.999894105921915,2.31538461538462,-0.01,1,1
"51","rmse",1.03344060171298,2.57153846153846,-0.01,1,1
"52","unif",1.46846161285836,2.57153846153846,-0.01,1,1
"53","var",1.46650332945064,2.57153846153846,-0.01,1,1
"54","y1",2.77200880985566,2.57153846153846,-0.01,1,1
"55","y2",0.999392332907274,2.57153846153846,-0.01,1,1
"56","rmse",1.05823060416241,2.82769230769231,-0.01,1,1
"57","unif",1.5783478907256,2.82769230769231,-0.01,1,1
"58","var",1.57733105136097,2.82769230769231,-0.01,1,1
"59","y1",3.00043157646082,2.82769230769231,-0.01,1,1
"60","y2",1.00142834290422,2.82769230769231,-0.01,1,1
"61","rmse",1.07779222095215,3.08384615384615,-0.01,1,1
"62","unif",1.68991094212976,3.08384615384615,-0.01,1,1
"63","var",1.68649521509235,3.08384615384615,-0.01,1,1
"64","y1",3.23580281403379,3.08384615384615,-0.01,1,1
"65","y2",1.0021256394879,3.08384615384615,-0.01,1,1
"66","rmse",1.0844010735998,3.34,-0.01,1,1
"67","unif",1.80821337754011,3.34,-0.01,1,1
"68","var",1.80740480845305,3.34,-0.01,1,1
"69","y1",3.5040604629423,3.34,-0.01,1,1
"70","y2",0.999969505558848,3.34,-0.01,1,1
"71","rmse",1.10676676966682,3.59615384615385,-0.01,1,1
"72","unif",1.92879284982205,3.59615384615385,-0.01,1,1
"73","var",1.9259998018482,3.59615384615385,-0.01,1,1
"74","y1",3.73306444719794,3.59615384615385,-0.01,1,1
"75","y2",0.993784093295422,3.59615384615385,-0.01,1,1
"76","rmse",1.12287087212754,3.85230769230769,-0.01,1,1
"77","unif",2.03610040858178,3.85230769230769,-0.01,1,1
"78","var",2.04401503313755,3.85230769230769,-0.01,1,1
"79","y1",3.96158919954607,3.85230769230769,-0.01,1,1
"80","y2",1.00217829591007,3.85230769230769,-0.01,1,1
"81","rmse",1.14607666870809,4.10846153846154,-0.01,1,1
"82","unif",2.16693076638124,4.10846153846154,-0.01,1,1
"83","var",2.1746977378429,4.10846153846154,-0.01,1,1
"84","y1",4.22036392603407,4.10846153846154,-0.01,1,1
"85","y2",1.0060179927209,4.10846153846154,-0.01,1,1
